"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4111","RemovingProductFromCart_LeavesCartEmpty","UI Tests","2026-06-22","passed","2026-06-22","CartTests","webkit","CartTests","RemovingProductFromCart_LeavesCartEmpty"
"","4692","RemovingOneProductFromCart_OtherProductsRemainInCart","UI Tests","2026-06-22","passed","2026-06-22","CartTests","webkit","CartTests","RemovingOneProductFromCart_OtherProductsRemainInCart"
"","9094","RegisterDuringCheckout_PlacesOrderSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","OrderTests","chromium","OrderTests","RegisterDuringCheckout_PlacesOrderSuccessfully"
"","3493","UserCanLoginSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","LoginTests","chromium","LoginTests","UserCanLoginSuccessfully"
"","6845","UserCanLoginSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","LoginTests","webkit","LoginTests","UserCanLoginSuccessfully"
"","56","Login_WithValidCredentials_ReturnsUserExists","","2026-06-22","passed","2026-06-22","Login","API Tests","LoginTests","Login_WithValidCredentials_ReturnsUserExists"
"","5700","UserCannotLoginWithNonExistingEmail","UI Tests","2026-06-22","passed","2026-06-22","LoginTests","webkit","LoginTests","UserCannotLoginWithNonExistingEmail"
"","3609","RemovingProductFromCart_LeavesCartEmpty","UI Tests","2026-06-22","passed","2026-06-22","CartTests","chromium","CartTests","RemovingProductFromCart_LeavesCartEmpty"
"","7547","AddTwoProductsToCart_ShowsCorrectProductDetails","UI Tests","2026-06-22","passed","2026-06-22","CartTests","firefox","CartTests","AddTwoProductsToCart_ShowsCorrectProductDetails"
"","12473","RegisterDuringCheckout_PlacesOrderSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","OrderTests","firefox","OrderTests","RegisterDuringCheckout_PlacesOrderSuccessfully"
"","5730","NavigatingBetweenCategories_DisplaysCorrectCategoryPage","UI Tests","2026-06-22","passed","2026-06-22","CategoryTests","firefox","CategoryTests","NavigatingBetweenCategories_DisplaysCorrectCategoryPage"
"","57","SearchProduct_WithValidSearchTerm_ReturnsProducts","","2026-06-22","passed","2026-06-22","SearchProduct","API Tests","SearchProductTests","SearchProduct_WithValidSearchTerm_ReturnsProducts"
"","113","GetAllBrands_ReturnsNonEmptyBrandsList","","2026-06-22","passed","2026-06-22","Brands","API Tests","BrandsTests","GetAllBrands_ReturnsNonEmptyBrandsList"
"","1603","SubmitContactUsForm_WithValidDataAndUploadFile_RedirectsToHomePage","UI Tests","2026-06-22","passed","2026-06-22","ContactUsTests","chromium","ContactUsTests","SubmitContactUsForm_WithValidDataAndUploadFile_RedirectsToHomePage"
"","2211","ViewProductDetails_ForTheFirstProduct_DisplaysCorrectDetails","UI Tests","2026-06-22","passed","2026-06-22","ProductsTests","firefox","ProductsTests","ViewProductDetails_ForTheFirstProduct_DisplaysCorrectDetails"
"","4196","UserCanRegisterSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","RegisterTests","firefox","RegisterTests","UserCanRegisterSuccessfully"
"","2771","NavigatingBetweenBrands_DisplaysCorrectBrandPageWithExpectedProductCount","UI Tests","2026-06-22","passed","2026-06-22","BrandTests","webkit","BrandTests","NavigatingBetweenBrands_DisplaysCorrectBrandPageWithExpectedProductCount"
"","86","SearchProduct_WithoutSearchTerm_Returns400InResponseBody","","2026-06-22","passed","2026-06-22","SearchProduct","API Tests","SearchProductTests","SearchProduct_WithoutSearchTerm_Returns400InResponseBody"
"","6600","UserCannotLoginWithWrongPassword","UI Tests","2026-06-22","passed","2026-06-22","LoginTests","webkit","LoginTests","UserCannotLoginWithWrongPassword"
"","4359","RemovingOneProductFromCart_OtherProductsRemainInCart","UI Tests","2026-06-22","passed","2026-06-22","CartTests","chromium","CartTests","RemovingOneProductFromCart_OtherProductsRemainInCart"
"","2900","AddProductToCart_WithCustomQuantity_ShowsCorrectQuantityAndTotalPriceInCart","UI Tests","2026-06-22","passed","2026-06-22","CartTests","webkit","CartTests","AddProductToCart_WithCustomQuantity_ShowsCorrectQuantityAndTotalPriceInCart"
"","110","PutToAllBrands_Returns405InResponseBody","","2026-06-22","passed","2026-06-22","Brands","API Tests","BrandsTests","PutToAllBrands_Returns405InResponseBody"
"","60","Login_WithInvalidEmailAndValidPassword_ReturnsUserNotFound","","2026-06-22","passed","2026-06-22","Login","API Tests","LoginTests","Login_WithInvalidEmailAndValidPassword_ReturnsUserNotFound"
"","9823","NewlyRegisteredUserCanLoginSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","RegisterTests","firefox","RegisterTests","NewlyRegisteredUserCanLoginSuccessfully"
"","64","SearchProduct_WithValidSearchTerm_ReturnsProducts","","2026-06-22","passed","2026-06-22","SearchProduct","API Tests","SearchProductTests","SearchProduct_WithValidSearchTerm_ReturnsProducts"
"","47","Login_WithMissingParameter_ReturnsBadRequest","","2026-06-22","passed","2026-06-22","Login","API Tests","LoginTests","Login_WithMissingParameter_ReturnsBadRequest"
"","6101","UserCannotRegisterWithExistingEmail","UI Tests","2026-06-22","passed","2026-06-22","RegisterTests","webkit","RegisterTests","UserCannotRegisterWithExistingEmail"
"","56","GetAllBrands_ReturnsStatusCode200","","2026-06-22","passed","2026-06-22","Brands","API Tests","BrandsTests","GetAllBrands_ReturnsStatusCode200"
"","6772","SubmitContactUsForm_WithValidDataAndUploadFile_RedirectsToHomePage","UI Tests","2026-06-22","passed","2026-06-22","ContactUsTests","firefox","ContactUsTests","SubmitContactUsForm_WithValidDataAndUploadFile_RedirectsToHomePage"
"","3460","UserCannotLoginWithWrongPassword","UI Tests","2026-06-22","passed","2026-06-22","LoginTests","chromium","LoginTests","UserCannotLoginWithWrongPassword"
"","1752","SubmitContactUsForm_WithValidData_RedirectsToHomePage","UI Tests","2026-06-22","passed","2026-06-22","ContactUsTests","webkit","ContactUsTests","SubmitContactUsForm_WithValidData_RedirectsToHomePage"
"","9821","UserCannotRegisterWithExistingEmail","UI Tests","2026-06-22","passed","2026-06-22","RegisterTests","firefox","RegisterTests","UserCannotRegisterWithExistingEmail"
"","4113","AddTwoProductsToCart_ShowsCorrectProductDetails","UI Tests","2026-06-22","passed","2026-06-22","CartTests","webkit","CartTests","AddTwoProductsToCart_ShowsCorrectProductDetails"
"","3728","UserCanRegisterSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","RegisterTests","webkit","RegisterTests","UserCanRegisterSuccessfully"
"","12951","RegisterDuringCheckout_PlacesOrderSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","OrderTests","webkit","OrderTests","RegisterDuringCheckout_PlacesOrderSuccessfully"
"","1801","SubmitContactUsForm_WithValidData_RedirectsToHomePage","UI Tests","2026-06-22","passed","2026-06-22","ContactUsTests","chromium","ContactUsTests","SubmitContactUsForm_WithValidData_RedirectsToHomePage"
"","83","GetAllProducts_ReturnsStatusCode200","","2026-06-22","passed","2026-06-22","Products","API Tests","ProductsTests","GetAllProducts_ReturnsStatusCode200"
"","90","Login_WithDeleteMethod_Returns405InResponseBody","","2026-06-22","passed","2026-06-22","Login","API Tests","LoginTests","Login_WithDeleteMethod_Returns405InResponseBody"
"","4290","UserCannotRegisterWithExistingEmail","UI Tests","2026-06-22","passed","2026-06-22","RegisterTests","chromium","RegisterTests","UserCannotRegisterWithExistingEmail"
"","152","UpdateUserAccount_WithValidData_ReturnsUserUpdated","","2026-06-22","passed","2026-06-22","UserAccount","API Tests","UserAccountTests","UpdateUserAccount_WithValidData_ReturnsUserUpdated"
"","12642","RegisterBeforeCheckout_PlacesOrderSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","OrderTests","webkit","OrderTests","RegisterBeforeCheckout_PlacesOrderSuccessfully"
"","5782","RemovingOneProductFromCart_OtherProductsRemainInCart","UI Tests","2026-06-22","passed","2026-06-22","CartTests","firefox","CartTests","RemovingOneProductFromCart_OtherProductsRemainInCart"
"","739","NavigateToCart_WithNoProducts_ShowsEmptyCartAndLinkToProducts","UI Tests","2026-06-22","passed","2026-06-22","CartTests","chromium","CartTests","NavigateToCart_WithNoProducts_ShowsEmptyCartAndLinkToProducts"
"","53","GetUserDetailsByExistingEmail_ReturnsCorrectUserDetails","","2026-06-22","passed","2026-06-22","UserAccount","API Tests","UserAccountTests","GetUserDetailsByExistingEmail_ReturnsCorrectUserDetails"
"","96","GetAllProducts_ReturnsNonEmptyProductsList","","2026-06-22","passed","2026-06-22","Products","API Tests","ProductsTests","GetAllProducts_ReturnsNonEmptyProductsList"
"","3338","UserCanRegisterSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","RegisterTests","chromium","RegisterTests","UserCanRegisterSuccessfully"
"","3454","UserCannotLoginWithNonExistingEmail","UI Tests","2026-06-22","passed","2026-06-22","LoginTests","chromium","LoginTests","UserCannotLoginWithNonExistingEmail"
"","8259","RegisterBeforeCheckout_PlacesOrderSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","OrderTests","chromium","OrderTests","RegisterBeforeCheckout_PlacesOrderSuccessfully"
"","9770","UserCanLoginSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","LoginTests","firefox","LoginTests","UserCanLoginSuccessfully"
"","2731","SearchProduct_WithValidSearchTerm_DisplaysSearchResults","UI Tests","2026-06-22","passed","2026-06-22","ProductsTests","firefox","ProductsTests","SearchProduct_WithValidSearchTerm_DisplaysSearchResults"
"","82","SearchProduct_WithValidSearchTerm_ReturnsProducts","","2026-06-22","passed","2026-06-22","SearchProduct","API Tests","SearchProductTests","SearchProduct_WithValidSearchTerm_ReturnsProducts"
"","4491","RemovingProductFromCart_LeavesCartEmpty","UI Tests","2026-06-22","passed","2026-06-22","CartTests","firefox","CartTests","RemovingProductFromCart_LeavesCartEmpty"
"","1594","ViewProductDetails_ForTheFirstProduct_DisplaysCorrectDetails","UI Tests","2026-06-22","passed","2026-06-22","ProductsTests","chromium","ProductsTests","ViewProductDetails_ForTheFirstProduct_DisplaysCorrectDetails"
"","2646","NavigatingBetweenCategories_DisplaysCorrectCategoryPage","UI Tests","2026-06-22","passed","2026-06-22","CategoryTests","chromium","CategoryTests","NavigatingBetweenCategories_DisplaysCorrectCategoryPage"
"","5268","NewlyRegisteredUserCanLoginSuccessfully","UI Tests","2026-06-22","passed","2026-06-22","RegisterTests","webkit","RegisterTests","NewlyRegisteredUserCanLoginSuccessfully"
"","1207","NavigateToCart_WithNoProducts_ShowsEmptyCartAndLinkToProducts","UI Tests","2026-06-22","passed","2026-06-22","CartTests","webkit","CartTests","NavigateToCart_WithNoProducts_ShowsEmptyCartAndLinkToProducts"
"","1813","ViewProductDetails_ForTheFirstProduct_DisplaysCorrectDetails","UI Tests","2026-06-22","passed","2026-06-22","ProductsTests","webkit","ProductsTests","ViewProductDetails_ForTheFirstProduct_DisplaysCorrectDetails"
